agent_id,agent_type,model_architecture,deployment_environment,task_category,task_complexity,autonomy_level,success_rate,accuracy_score,efficiency_score,execution_time_seconds,response_latency_ms,memory_usage_mb,cpu_usage_percent,cost_per_task_cents,human_intervention_required,error_recovery_rate,multimodal_capability,edge_compatibility,privacy_compliance_score,bias_detection_score,timestamp,data_quality_score,performance_index,cost_efficiency_ratio,autonomous_capability_score
AG_04730,Code Assistant,Claude-3.5,Server,Problem Solving,9,8,0.3,0.4029,0.5009,114.32,1502.12,556.0,96.3,0.0437,True,0.3564,False,True,0.9451,0.6271,2024-12-24 04:16:16,0.9255,0.39113999999999993,8.750335570469796,104.94800000000001
AG_02797,Content Creator,LLaMA-3,Mobile,Text Processing,5,5,0.5346,0.6417,0.631,5.66,1260.69,340.7,67.5,0.0053,True,0.6524,False,True,0.8131,0.6322,2024-12-24 04:16:16,0.9408,0.59565,94.54761904761905,95.668
AG_03669,Data Analyst,InstructGPT,Mobile,Creative Writing,8,6,0.3,0.4139,0.5487,16.07,679.35,526.1,93.8,0.0106,True,0.4192,False,True,0.7693,0.6479,2024-12-24 04:16:16,0.8714,0.40878,35.23965517241379,89.344
AG_02375,Customer Service,GPT-4o,Mobile,Research & Summarization,8,6,0.3765,0.4684,0.488,50.96,578.09,464.1,74.5,0.0216,True,0.4558,False,True,0.7644,0.6472,2024-12-24 04:16:16,0.9548,0.43752,19.35929203539823,91.906
AG_01884,Document Processor,GPT-4o,Desktop,Creative Writing,4,6,0.6229,0.7183,0.7029,30.72,1369.0,318.4,54.9,0.0134,True,0.6695,True,True,0.8234,0.726,2024-12-24 04:16:16,0.8991,0.67552,46.91111111111111,106.86500000000001
AG_03408,Email Manager,Claude-3.5,Cloud,Problem Solving,8,6,0.3939,0.4143,0.5447,57.68,1854.36,498.3,96.5,0.0242,True,0.4648,False,False,0.7257,0.6859,2024-12-24 04:16:16,0.8972,0.44526,17.669047619047618,92.536
AG_01005,Social Media Manager,Gemini-Pro,Desktop,Learning & Adaptation,8,8,0.3,0.4915,0.4831,90.17,932.87,558.4,90.3,0.0356,True,0.4031,False,False,0.7897,0.6696,2024-12-25 04:16:15,0.9466,0.41237999999999997,11.267213114754098,108.217
AG_00893,Research Assistant,Transformer-XL,Mobile,Creative Writing,6,5,0.4735,0.5349,0.5387,51.71,115.43,415.1,76.2,0.0214,True,0.6143,True,True,0.7887,0.829,2024-12-25 04:16:15,0.7684,0.5114799999999999,22.83392857142857,93.001
AG_00574,Task Planner,Falcon-180B,Hybrid,Data Analysis,5,7,0.4336,0.614,0.6493,35.82,1044.21,339.1,68.5,0.0153,True,0.4598,False,False,0.7902,0.941,2024-12-25 04:16:15,0.9769,0.55243,33.89141104294479,102.186
AG_00983,Project Manager,Transformer-XL,Mobile,Text Processing,2,1,0.7126,0.7875,0.7476,21.24,400.89,228.6,40.6,0.0094,False,0.817,False,True,0.7669,0.6415,2024-12-25 04:16:15,0.9503,0.7455700000000001,71.68942307692309,87.19
AG_00385,Project Manager,Mixtral-8x7B,Hybrid,Text Processing,4,4,0.5708,0.6586,0.6718,15.48,243.88,294.5,47.6,0.0081,True,0.6987,False,True,0.8566,0.7802,2024-12-25 04:16:15,0.7729,0.6274399999999999,68.94945054945053,88.90899999999999
AG_03869,Project Manager,CodeT5+,Edge,Data Analysis,4,5,0.7428,0.7113,0.6714,82.71,1221.39,310.5,62.9,0.0307,False,0.8396,False,True,0.7974,0.9037,2024-12-25 04:16:16,0.7701,0.71193,22.458359621451102,128.772
AG_01489,Code Assistant,Falcon-180B,Hybrid,Learning & Adaptation,9,7,0.3,0.4174,0.4172,57.43,2207.44,528.6,87.2,0.0244,True,0.3701,False,False,0.9379,0.7145,2024-12-25 04:16:16,0.8281,0.37038,14.581889763779525,95.907
AG_04769,Financial Advisor,InstructGPT,Edge,Data Analysis,8,8,0.3624,0.4423,0.5384,69.26,1551.07,494.5,79.1,0.028,True,0.4904,False,True,0.9244,0.7478,2024-12-25 04:16:16,0.9644,0.43917,15.143793103448274,114.328
AG_03574,HR Recruiter,GPT-4o,Desktop,Planning & Scheduling,4,6,0.6506,0.6987,0.7492,16.27,163.02,273.8,52.4,0.0082,True,0.6772,False,False,0.8679,0.6414,2024-12-25 04:16:16,0.9214,0.69461,75.50108695652173,107.404
AG_01865,Research Assistant,PaLM-2,Server,Code Generation,7,6,0.415,0.5088,0.5153,45.05,300.02,427.2,64.0,0.0193,True,0.4267,False,False,0.7965,0.7047,2024-12-25 04:16:16,0.9054,0.47323000000000004,23.31182266009852,89.869
AG_02871,Sales Assistant,Transformer-XL,Mobile,Learning & Adaptation,10,10,0.3,0.4,0.3596,138.84,1662.15,614.7,93.6,0.0524,True,0.313,False,True,0.8499,0.6051,2024-12-25 04:16:16,0.8521,0.34787999999999997,6.514606741573033,121.91
AG_01722,Document Processor,LLaMA-3,Server,Text Processing,4,4,0.605,0.6582,0.6959,18.26,651.68,269.4,47.3,0.0088,True,0.6431,False,False,0.9105,0.6536,2024-12-25 04:16:16,0.841,0.64823,66.14591836734694,85.017
AG_01267,HR Recruiter,Claude-3.5,Server,Code Generation,3,5,0.8365,0.7362,0.751,53.02,423.49,257.0,35.1,0.0202,False,0.95,False,False,0.8852,0.7137,2024-12-25 04:16:16,0.8688,0.7807599999999999,36.828301886792445,136.5
AG_01224,Sales Assistant,Transformer-XL,Server,Data Analysis,4,5,0.6598,0.6832,0.6754,39.31,135.35,290.0,55.4,0.016,True,0.6935,False,True,0.7192,0.7685,2024-12-25 04:16:16,0.7889,0.6715000000000001,39.5,98.545
AG_02143,Social Media Manager,CodeT5+,Server,Text Processing,6,6,0.5065,0.5781,0.584,26.66,809.76,401.2,64.7,0.0129,True,0.591,False,False,0.803,0.777,2024-12-25 04:16:16,0.8928,0.55123,39.656834532374106,101.37
AG_03775,QA Tester,GPT-4o,Desktop,Problem Solving,8,10,0.5128,0.4991,0.5406,106.91,144.81,559.2,92.1,0.0412,True,0.6018,False,True,0.7654,0.7166,2024-12-25 04:16:16,0.9572,0.51703,12.251895734597156,142.126
AG_03478,Data Analyst,Mixtral-8x7B,Desktop,Problem Solving,6,4,0.4838,0.5504,0.562,61.02,607.15,384.1,75.6,0.0242,True,0.5805,False,False,0.9484,0.8902,2024-12-25 04:16:16,0.7955,0.52724,20.922222222222224,80.63499999999999
AG_04148,Content Creator,Transformer-XL,Desktop,Creative Writing,6,6,0.4417,0.5908,0.5499,49.73,303.41,385.6,40.9,0.0204,True,0.4563,True,False,0.7471,0.857,2024-12-25 04:16:16,0.8596,0.5188900000000001,24.247196261682245,91.941
AG_03386,Content Creator,Claude-3.5,Desktop,Learning & Adaptation,7,8,0.4055,0.5156,0.5355,107.92,384.46,457.7,83.4,0.0405,True,0.415,False,False,0.9674,0.6179,2024-12-25 04:16:16,0.9629,0.47753,11.506746987951807,109.05
AG_03827,Customer Service,InstructGPT,Desktop,Planning & Scheduling,6,5,0.3726,0.6059,0.6456,31.09,2982.08,424.1,75.6,0.0146,True,0.4059,False,False,0.7482,0.8618,2024-12-25 04:16:16,0.896,0.52449,33.621153846153845,78.413
AG_01929,Social Media Manager,Gemini-Pro,Edge,Data Analysis,8,9,0.3146,0.5061,0.4883,50.78,232.24,514.6,78.8,0.0221,True,0.4456,False,True,0.853,0.7966,2024-12-25 04:16:16,0.7516,0.42416,18.36190476190476,121.19200000000001
AG_00721,Project Manager,Gemini-Pro,Hybrid,Creative Writing,6,5,0.4553,0.5447,0.5878,28.0,303.8,481.7,76.4,0.0142,True,0.5907,False,False,0.9569,0.9257,2024-12-26 04:16:15,0.8122,0.5218700000000001,34.33355263157895,91.349
AG_00423,Task Planner,Falcon-180B,Desktop,Decision Making,5,4,0.5492,0.5903,0.6077,51.92,444.15,303.5,66.6,0.0203,True,0.6153,False,False,0.7729,0.8934,2024-12-26 04:16:15,0.9146,0.57908,27.186854460093898,83.071
AG_00952,Email Manager,PaLM-2,Server,Planning & Scheduling,4,4,0.593,0.6647,0.7039,29.03,1488.9,361.1,49.8,0.0133,True,0.6296,False,False,0.8206,0.7657,2024-12-26 04:16:15,0.9212,0.6477799999999999,45.299300699300694,84.072
AG_00759,Research Assistant,LLaMA-3,Mobile,Decision Making,9,8,0.3,0.4,0.4259,58.02,888.18,577.4,103.6,0.0251,True,0.3582,False,True,0.8053,0.824,2024-12-26 04:16:15,0.8638,0.36777,14.090804597701148,105.074
AG_02065,Data Analyst,Gemini-Pro,Edge,Text Processing,6,5,0.5785,0.6098,0.638,16.46,436.24,441.5,82.0,0.0099,True,0.6407,False,True,0.8043,0.7463,2024-12-26 04:16:16,0.7975,0.6057400000000001,55.57247706422019,94.849
AG_04590,Content Creator,Mixtral-8x7B,Desktop,Creative Writing,4,2,0.523,0.6609,0.682,34.02,899.31,327.5,37.5,0.0146,True,0.6566,False,False,0.7267,0.7591,2024-12-26 04:16:16,0.9117,0.61207,39.23525641025641,65.96199999999999
AG_01702,Social Media Manager,InstructGPT,Hybrid,Problem Solving,8,6,0.3688,0.4253,0.4885,98.28,487.55,479.3,86.7,0.0376,True,0.3844,False,True,0.8307,0.6683,2024-12-26 04:16:16,0.7873,0.42166000000000003,10.923834196891193,86.908
AG_03490,Marketing Assistant,GPT-4o,Edge,Planning & Scheduling,3,5,0.8672,0.8278,0.8123,20.93,4415.7,230.0,49.3,0.0093,False,0.8791,False,True,0.7819,0.698,2024-12-26 04:16:16,0.9166,0.8389099999999999,81.44757281553397,131.537
AG_02407,Task Planner,CodeT5+,Edge,Text Processing,3,2,0.6936,0.724,0.787,33.35,779.52,295.0,35.9,0.0141,True,0.7871,False,True,0.7492,0.8349,2024-12-26 04:16:16,0.9724,0.73074,48.39337748344371,75.09700000000001
AG_01304,Project Manager,Mixtral-8x7B,Edge,Creative Writing,3,4,0.6723,0.8208,0.7265,32.87,163.88,297.6,53.6,0.0139,True,0.7445,False,True,0.725,0.6358,2024-12-26 04:16:16,0.9575,0.7331099999999999,49.20201342281879,92.11500000000001
AG_01128,Sales Assistant,CodeT5+,Edge,Data Analysis,7,8,0.4057,0.5786,0.5578,11.26,292.76,461.4,76.4,0.0084,True,0.4483,False,True,0.768,0.687,2024-12-26 04:16:16,0.8371,0.5032,53.53191489361703,111.381
AG_01328,Financial Advisor,InstructGPT,Edge,Creative Writing,8,7,0.3666,0.4688,0.5151,17.94,254.65,473.1,87.1,0.0107,True,0.5102,False,True,0.8284,0.6729,2024-12-26 04:16:16,0.9126,0.44181,37.761538461538464,105.714
AG_03786,Customer Service,InstructGPT,Desktop,Learning & Adaptation,8,9,0.3399,0.5077,0.4782,56.33,543.61,489.6,103.7,0.0237,True,0.4519,False,False,0.8996,0.8303,2024-12-26 04:16:16,0.9579,0.43173000000000006,17.478947368421053,121.63300000000001
AG_04678,Social Media Manager,Transformer-XL,Server,Code Generation,3,4,0.7431,0.7638,0.6711,52.89,1154.53,265.0,59.1,0.0203,False,0.7487,False,False,0.7427,0.704,2024-12-26 04:16:16,0.8949,0.7277100000000001,34.16478873239437,112.40899999999999
AG_01529,Social Media Manager,LLaMA-3,Hybrid,Learning & Adaptation,7,6,0.4169,0.4753,0.5689,87.04,1051.03,444.1,68.8,0.0335,True,0.5489,False,False,0.7713,0.6102,2024-12-26 04:16:16,0.8699,0.48002,13.913623188405795,98.423
AG_02234,Sales Assistant,Claude-3.5,Desktop,Data Analysis,5,5,0.4652,0.6604,0.6383,70.31,671.23,389.6,60.0,0.0273,True,0.5501,True,False,0.8762,0.6177,2024-12-26 04:16:16,0.8168,0.57569,20.342402826855125,88.507
AG_01918,Data Analyst,GPT-4o,Server,Decision Making,7,8,0.3834,0.5289,0.5631,36.53,473.73,445.4,78.0,0.0166,True,0.3909,False,False,0.755,0.6737,2024-12-26 04:16:16,0.9784,0.48096000000000005,27.327272727272728,107.363
AG_01605,Task Planner,PaLM-2,Server,Communication,6,8,0.4856,0.5723,0.5887,7.39,1309.82,377.3,54.1,0.0062,True,0.6011,False,False,0.9719,0.9486,2024-12-26 04:16:16,0.8054,0.54254,75.35277777777779,122.077
AG_01540,Research Assistant,GPT-4o,Hybrid,Creative Writing,4,2,0.6782,0.6853,0.7123,29.57,1160.39,255.6,54.0,0.0124,True,0.8232,True,False,0.9376,0.908,2024-12-26 04:16:16,0.8558,0.6905600000000001,51.53432835820897,77.624
AG_03014,Data Analyst,Gemini-Pro,Mobile,Creative Writing,8,10,0.4372,0.4322,0.5064,37.44,414.08,567.9,82.6,0.0182,True,0.5791,True,True,0.8212,0.7298,2024-12-26 04:16:16,0.9586,0.45646,23.77395833333333,140.537
AG_04503,Project Manager,CodeT5+,Desktop,Problem Solving,9,10,0.3,0.4266,0.4344,111.41,2393.87,507.2,77.2,0.0422,True,0.3974,False,True,0.7525,0.8435,2024-12-26 04:16:16,0.8942,0.37829999999999997,8.756944444444443,127.818
AG_01871,QA Tester,CodeT5+,Mobile,Text Processing,5,7,0.5367,0.6434,0.6307,31.17,3690.15,355.6,63.4,0.0139,True,0.6114,False,True,0.953,0.8161,2024-12-26 04:16:16,0.9467,0.5969099999999999,40.06107382550335,112.798
AG_01500,Document Processor,PaLM-2,Mobile,Code Generation,7,8,0.4634,0.4645,0.5994,59.93,264.36,436.8,78.0,0.0243,True,0.6061,False,True,0.9327,0.667,2024-12-26 04:16:16,0.8267,0.50453,19.941897233201583,122.42699999999999
AG_02380,Research Assistant,Mixtral-8x7B,Edge,Data Analysis,4,2,0.607,0.666,0.7166,79.21,1508.29,303.4,37.8,0.0294,True,0.6202,True,True,0.9048,0.6754,2024-12-26 04:16:16,0.8529,0.65758,21.63092105263158,63.414
AG_02302,Document Processor,InstructGPT,Cloud,Data Analysis,4,4,0.6363,0.7104,0.7368,76.75,520.48,303.6,64.0,0.0286,True,0.724,True,False,0.9536,0.919,2024-12-26 04:16:16,0.9301,0.6886800000000001,23.26621621621622,90.68
AG_04288,Email Manager,Mixtral-8x7B,Desktop,Data Analysis,4,3,0.6399,0.6575,0.6546,89.27,1214.06,270.7,61.2,0.0325,True,0.7653,False,True,0.9272,0.9489,2024-12-26 04:16:16,0.7545,0.64959,19.390746268656716,83.571
AG_02448,HR Recruiter,Mixtral-8x7B,Cloud,Learning & Adaptation,7,6,0.3421,0.5392,0.565,58.17,272.76,442.4,72.1,0.0238,True,0.3622,False,True,0.8177,0.7354,2024-12-26 04:16:16,0.8309,0.46809999999999996,18.874999999999996,85.354
AG_04015,Sales Assistant,PaLM-2,Cloud,Communication,4,6,0.59,0.6622,0.6519,25.18,600.18,316.2,57.8,0.0116,True,0.6141,False,False,0.8643,0.9202,2024-12-26 04:16:16,0.7597,0.63023,50.018253968253966,102.987
AG_03527,Data Analyst,Claude-3.5,Cloud,Decision Making,8,6,0.4116,0.4697,0.5681,43.79,1023.64,453.5,85.9,0.0191,True,0.4565,False,False,0.7358,0.9212,2024-12-26 04:16:16,0.97,0.47597999999999996,23.68059701492537,91.955
AG_00591,Email Manager,PaLM-2,Edge,Problem Solving,6,6,0.4733,0.5931,0.6235,75.72,357.53,406.2,63.8,0.0293,True,0.6006,False,True,0.8977,0.7717,2024-12-27 04:16:15,0.8093,0.5543,18.293729372937293,102.042
AG_00863,Content Creator,Gemini-Pro,Cloud,Text Processing,6,8,0.4096,0.5603,0.5972,32.88,1421.73,371.6,67.9,0.0147,True,0.5309,False,False,0.8457,0.8535,2024-12-27 04:16:15,0.8343,0.51109,32.55350318471338,117.16300000000001
AG_01071,Document Processor,InstructGPT,Cloud,Planning & Scheduling,3,2,0.7241,0.7474,0.8388,28.9,261.92,209.4,43.3,0.0117,False,0.8587,False,False,0.7059,0.9005,2024-12-27 04:16:15,0.9615,0.7655,60.275590551181104,100.10900000000001
AG_01059,Marketing Assistant,PaLM-2,Cloud,Research & Summarization,8,8,0.3786,0.4412,0.4913,48.55,231.59,496.1,76.0,0.0211,True,0.4597,False,False,0.9013,0.6789,2024-12-27 04:16:15,0.7882,0.43118999999999996,19.510859728506784,112.179
AG_00357,Email Manager,Gemini-Pro,Hybrid,Problem Solving,8,6,0.3368,0.4567,0.5092,69.77,1223.79,507.4,67.7,0.0283,True,0.4655,False,False,0.7273,0.8472,2024-12-27 04:16:15,0.8295,0.42449000000000003,14.487713310580206,92.58500000000001
AG_00541,Project Manager,PaLM-2,Hybrid,Planning & Scheduling,7,7,0.3857,0.504,0.5174,29.33,728.0,439.7,55.1,0.0142,True,0.4901,False,False,0.7461,0.8638,2024-12-27 04:16:15,0.9727,0.4607,30.309210526315788,104.307
AG_00164,Document Processor,CodeT5+,Hybrid,Communication,2,2,0.8318,0.8442,0.823,26.66,341.19,208.2,42.5,0.011,False,0.8484,False,False,0.8252,0.7611,2024-12-27 04:16:15,0.9488,0.83288,69.40666666666667,99.388
AG_00369,QA Tester,Transformer-XL,Cloud,Problem Solving,10,10,0.3,0.4,0.3276,79.02,1867.54,680.3,100.6,0.0331,True,0.3082,False,False,0.7879,0.7747,2024-12-27 04:16:15,0.7998,0.33827999999999997,9.920234604105572,121.574
AG_00110,Marketing Assistant,Gemini-Pro,Hybrid,Data Analysis,5,5,0.5593,0.6849,0.6923,37.9,1419.57,371.6,66.4,0.0164,True,0.6896,False,True,0.8052,0.7039,2024-12-27 04:16:15,0.8993,0.63688,36.602298850574705,98.27199999999999
AG_01585,Customer Service,InstructGPT,Server,Text Processing,5,7,0.5079,0.6691,0.6402,18.4,1095.06,382.6,63.3,0.01,True,0.6243,False,True,0.9183,0.7264,2024-12-27 04:16:16,0.953,0.59595,54.17727272727273,113.701
AG_01182,Financial Advisor,Mixtral-8x7B,Desktop,Data Analysis,4,6,0.5511,0.6928,0.6524,59.3,432.22,247.2,60.7,0.0222,True,0.6177,True,False,0.7297,0.8167,2024-12-27 04:16:16,0.8925,0.624,26.89655172413793,103.239
AG_04352,Social Media Manager,Claude-3.5,Server,Creative Writing,4,6,0.6365,0.7578,0.7151,24.67,442.55,292.0,53.4,0.0111,True,0.6374,False,False,0.8302,0.626,2024-12-27 04:16:16,0.9425,0.6964699999999999,57.5595041322314,104.618
AG_04961,Translation Agent,Falcon-180B,Mobile,Research & Summarization,8,9,0.3,0.4113,0.4625,63.59,282.48,545.1,85.3,0.0266,True,0.3043,False,True,0.7393,0.8646,2024-12-27 04:16:16,0.8272,0.38214000000000004,13.845652173913045,111.301
AG_01670,Email Manager,GPT-4o,Mobile,Data Analysis,4,6,0.6242,0.6993,0.7577,96.25,164.95,343.8,53.3,0.0355,True,0.7,True,True,0.9528,0.8017,2024-12-27 04:16:16,0.8527,0.6867800000000001,18.815890410958907,109.0
AG_01368,Sales Assistant,Claude-3.5,Cloud,Decision Making,8,10,0.3,0.4303,0.5352,20.42,250.82,509.3,77.2,0.0119,True,0.3553,False,False,0.8538,0.8605,2024-12-27 04:16:16,0.844,0.40965,31.755813953488367,124.871
AG_02000,Project Manager,Gemini-Pro,Cloud,Research & Summarization,5,6,0.6707,0.585,0.6466,53.66,455.06,378.8,59.3,0.0217,True,0.6844,False,True,0.8616,0.6515,2024-12-27 04:16:16,0.808,0.63776,28.095154185022025,107.908
AG_01868,Content Creator,GPT-4o,Mobile,Communication,3,4,0.8742,0.8092,0.8258,14.43,332.55,253.8,34.2,0.0073,False,0.95,False,True,0.85,0.8086,2024-12-27 04:16:16,0.8586,0.8401799999999999,101.22650602409638,126.5
AG_04855,Marketing Assistant,Gemini-Pro,Edge,Text Processing,2,1,0.7593,0.7603,0.8182,17.45,132.83,164.1,34.5,0.0075,False,0.8028,False,True,0.7566,0.8629,2024-12-27 04:16:16,0.7519,0.77727,91.4435294117647,86.196
AG_03588,Task Planner,LLaMA-3,Cloud,Creative Writing,5,3,0.5998,0.6126,0.6743,38.18,768.97,327.6,69.9,0.016,True,0.7341,True,False,0.7783,0.8083,2024-12-27 04:16:16,0.882,0.62599,36.822941176470586,81.387
